Item,Description,Quantity,Item Total Price + Tax,Supplier,URL
Akko V3 Cream Yellow Pro,Switches,2 sets,$43.59,Akkogear,https://akkogear.eu/checkouts/cn/hWNFC9Zx8n0qdDLtnQizb7BJ/en-ca?_r=AQABTiZ4LBHLBRkxaLW6R8DGCDqGPlsWqsG-794_4yOEAos
Raspberry Pi Pico SC0915,MCU,1,$15.06,PiShop,https://www.pishop.ca/product/raspberry-pi-pico-non-wireless/?src=raspberrypi
Topographic MX Keycaps,RGB Keycap,1 set,$11.00,Aliexpress,https://www.aliexpress.com/item/1005010637419371.html?pdp_ext_f=%7B%22order%22%3A%22213%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D
EC11 Rotary Encoder,Rotary Encoder/Knob,1,$2.17,Digikey,https://www.digikey.ca/en/products/detail/bourns-inc/PEC11R-4220F-S0024/4499660
SSD1306 OLED Display 128x32,OLED Display,1,$1.15,Aliexpress,https://www.aliexpress.com/item/1005009260655146.html?pdp_ext_f=%7B%22order%22%3A%22383%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D
4x 2u + 1x 6.25u Cherry MX Stabilizer,Key stabilizers,1 set,$10.02,Aliexpress,https://www.aliexpress.com/item/1005011961905061.html?pdp_ext_f=%7B%22order%22%3A%224%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D
Megaboard PCB Printing with JLCPCB,PCB,5 (Minimum order quantity),$89.32,JLCPCB,https://i.ibb.co/LhSh1BdN/Screenshot-2026-08-02-at-12-04-04-PM.png (Screenshot)
SK6812 Mini E-LEDs,RGB LED,70,$13.44,LCSC Electronics,https://www.lcsc.com/product-image/C5149201.html?whichImg=sch
0805 100PF 50V Capacitor,Per-LED Capacitor,1,$1.04,Aliexpress,https://www.aliexpress.com/item/1005007123309391.html?aem_p4p_detail=202608010926291013123185836630000650728&pdp_ext_f=%7B%22order%22%3A%22562%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&search_p4p_id=202608010926291013123185836630000650728_1
1N4148 Diode,Per-Switch Diode,65,$2.11,Digikey,https://www.digikey.ca/en/products/detail/onsemi/1N4148/458603
M2.5x16mm 50pcs Screw Set,Shell fastener,1 Set,$7.33,Aliexpress,https://www.aliexpress.com/item/1005004410362290.html?pdp_ext_f=%7B%22order%22%3A%22108%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D
330 Ohm Resistor,Resistor,1,$0.13,Digikey,https://www.digikey.ca/en/products/detail/stackpole-electronics-inc/CF14JT330R/1741399
Digikey International Shipping Fee,Shipping,1,$16.14,Digikey,https://i.ibb.co/r2WyLzsk/Screenshot-2026-08-02-at-12-36-13-PM.png (Screenshot)
Grand total,$212.49,,"Please note that all costs are listed in US Dollars (USD), and all shipping costs are included in the item price, unless specified when bolded, in which, the shipping costs are italicized",,
